Razon Social,RUT,Tipo CFE,Serie,Numero,Fecha de Emision,Moneda,TC,Monto No Gravado,Monto Exportacion y Asimilados,Monto Impuesto Percibido,Monto  IVA en suspenso,Neto Iva Tasa Basica,Neto Iva Tasa Minima,Neto Iva Otra Tasa,Monto Total,Monto Retenido,Monto Credito Fiscal,Monto No facturable,Monto Total a Pagar,Iva Tasa Basica,Iva Tasa Minima,Iva Otra Tasa,h_source_url
ADMINISTRACION NACIONAL DE USINAS Y TRASMISIONES E,210778720012,e-Factura,B,7180244,07/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","4.191,34","0,00","0,00","5.113,43","0,00","0,00","-0,43","5.113,00","922,09","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2072329862,43,11"
SASSO SILVA RICHARD GERARDO,213591470017,e-Factura,A,17046,08/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1.940,00","1.940,00","0,00","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2073041000,1,12"
ADMINISTRACION NACIONAL DE TELECOMUNICACIONES (ANTEL),211003420017,e-Factura,F,9861575,10/07/2025 ,UYU,"1,000","0,00","0,00","0,00","0,00","1.993,26","0,00","0,00","2.431,76","0,00","0,00","0,24","2.432,00","438,50","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2074420440,33,13"
ALBERTO GANDULIA S A,210217240011,e-Factura,A,1276898,08/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","981,15","0,00","0,00","1.197,00","0,00","0,00","0,00","1.197,00","215,85","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2072705612,3,14"
EQUIPAMIENTO LASER S R L,212364450017,e-Factura,A,110322,08/07/2025 ,USD,"40,442","0,00","0,00","0,00","0,00","40,00","0,00","0,00","48,80","0,00","0,00","0,00","48,80","8,80","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2072870769,3,15"
HENDERSON Y CIA S A,210094030014,e-Factura,B,4305978,08/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","683,61","0,00","0,00","834,00","0,00","0,00","0,00","834,00","150,39","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2072989988,1,16"
RIVELPEND S A,214613800012,e-Factura,A,129972,02/08/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8.296,00","8.296,00","0,00","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2093479333,1,17"
HENDERSON Y CIA S A,210094030014,e-Factura,B,4313437,10/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","14.057,53","723,64","0,00","17.946,19","0,00","0,00","0,00","17.946,19","3.092,66","72,36","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2074382360,1,18"
DELIVERY HERO URUGUAY MARKETPLACE S.A.,216639270017,e-Factura,A,2542642,10/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","53,28","0,00","0,00","65,00","0,00","0,00","0,00","65,00","11,72","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2074517715,1,19"
RIVELPEND S A,214613800012,e-Factura,A,129406,10/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","6.800,00","0,00","0,00","8.296,00","0,00","0,00","0,00","8.296,00","1.496,00","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2074759736,1,20"
MOVIREC S A,214214790013,e-Factura,A,1844692,11/07/2025 ,UYU,"1,000","3.389,80","0,00","0,00","0,00","0,00","0,00","0,00","3.389,80","0,00","0,00","0,00","3.389,80","0,00","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2075249732,1,1"
MELINOR SOCIEDAD ANONIMA,213029330011,e-Factura,A,81231,11/07/2025 ,USD,"40,627","0,00","0,00","0,00","0,00","710,40","0,00","0,00","866,69","0,00","0,00","0,00","866,69","156,29","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2075362810,1,2"
DEVOTO HNOS S A,210297450018,e-Factura,AI,6008734,11/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","2.352,46","0,00","0,00","2.870,00","0,00","0,00","0,00","2.870,00","517,54","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2075400938,2,3"
INTERCAR S.A.,211557150017,e-Factura,A,842000,12/07/2025 ,UYU,"1,000","2.251,40","0,00","0,00","0,00","0,00","0,00","0,00","2.251,40","0,00","0,00","0,00","2.251,40","0,00","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2076320919,2,4"
RIVERSET S.A.,217914590011,e-Factura,A,32478,12/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","1.644,27","0,00","0,00","2.006,00","0,00","0,00","0,00","2.006,00","361,73","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2076326296,1,5"
DELIVERY HERO URUGUAY MARKETPLACE S.A.,216639270017,e-Factura,A,2545803,12/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","50,00","0,00","0,00","61,00","0,00","0,00","0,00","61,00","11,00","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2076371957,1,6"
PEREZ QUIÑONES ANTONIO Y BONAVITA GIL GRACIELA MERCEDES,212549420017,e-Factura,A,112642,14/07/2025 ,UYU,"1,000","0,00","0,00","0,00","0,00","1.811,50","0,00","0,00","2.210,03","0,00","0,00","-0,03","2.210,00","398,53","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2077428644,1,7"
SECURITAS SISTEMAS S.A,212202160013,e-Factura,A,680917,15/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","3.352,39","0,00","0,00","4.089,92","0,00","0,00","0,00","4.089,92","737,53","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2078808454,50,8"
SANTURION PICCININNO WILLIAM,212190750010,e-Factura,A,9324,16/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","368,85","0,00","0,00","450,00","0,00","0,00","0,00","450,00","81,15","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2079190491,1,9"
LAURINAL SOCIEDAD ANONIMA,217094000015,e-Factura,A,50954,17/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","29.262,30","0,00","0,00","35.700,00","0,00","0,00","0,00","35.700,00","6.437,70","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2080198650,1,10"
BANCO DE SEGUROS DEL ESTADO,210465050018,e-Factura,B,4699117,19/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","6.451,31","0,00","0,00","7.870,60","0,00","0,00","0,40","7.871,00","1.419,29","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2081210459,38,11"
RIVERSET S.A.,217914590011,e-Factura,A,32485,19/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","3.058,61","0,00","0,00","3.731,50","0,00","0,00","0,00","3.732,00","672,89","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2081516392,1,12"
DELIVERY HERO URUGUAY MARKETPLACE S.A.,216639270017,e-Factura,A,2556696,19/07/2025 ,UYU,"0,000","0,00","0,00","0,00","0,00","53,28","0,00","0,00","65,00","0,00","0,00","0,00","65,00","11,72","0,00","0,00","https://www.efactura.dgi.gub.uy/eFacConsultasMenuServFE/servlet/efacconsultawebsobrecfe?2081523997,1,13"
